Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Social_Media_T2P2B_Increase,US East (N. Virginia),Web Server and Application Servers,Amazon EC2,0,6907.4226660000000,82889.07,USD,"Operating system (Linux), Storage amount (1 GB), DT Inbound: Internet (3 TB per month), DT Outbound: US East (Ohio) (6 TB per month), DT Intra-Region: (2 TB per month), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 20, Peak: 150, Duration of peak: 8 Hr 00 Min)), Advance EC2 instance (m6g.xlarge), Pricing strategy (EC2 Instance Savings Plans 3yr No Upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (10 GB)"
Social_Media_T2P2B_Increase,US East (N. Virginia),VPC configuration,Amazon Virtual Private Cloud (VPC),0,987.3,11847.60,USD,Number of NAT Gateways (2)
Social_Media_T2P2B_Increase,US East (N. Virginia),S3 for static,S3 Standard,0,2533.72,30404.64,USD,S3 Standard storage (100 TB per month)
Social_Media_T2P2B_Increase,US East (N. Virginia),S3 for static,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"
Social_Media_T2P2B_Increase,US East (N. Virginia),Cloud Front for Content,Amazon CloudFront,0,642,7704.00,USD,"Data transfer out to internet (5 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (2000000 per month)"
Social_Media_T2P2B_Increase,US East (N. Virginia),RDS Configuration,Amazon RDS for MySQL,0,6719.6,80635.20,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (4 TB), Provisioning IOPS (10000), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Social_Media_T2P2B_Increase,US East (N. Virginia),ALB Configuration,Application Load Balancer,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
,,,,Total,18990.892666,,,
,,,,,"Increased peak hour to 8 hours for EC2 instance with 150 instances
Enhanced EC2 instances to m6g.xlarge for better network performance
Increased S3 capacity to 100 TB
Increased RDS storage to 4 TB",,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,